Fecha,Hospitalizados,Importados,Positivos,Positivos no detectados,Fallecidos
2020-01-01,0,0,0,11,7
2020-01-02,0,0,0,57,7
2020-01-03,0,0,0,123,12
2020-01-04,0,0,0,35,3
2020-01-05,0,0,0,57,13
2020-01-06,0,0,0,159,20
2020-01-07,0,0,0,177,12
2020-01-08,0,0,0,212,18
2020-01-09,0,0,0,184,20
2020-01-10,0,0,0,194,20
2020-01-11,0,0,0,48,15
2020-01-12,0,0,0,78,22
2020-01-13,0,0,0,242,20
2020-01-14,0,0,0,279,24
2020-01-15,0,0,0,338,21
2020-01-16,0,0,0,315,20
2020-01-17,0,0,0,308,18
2020-01-18,0,0,0,55,9
2020-01-19,0,0,0,79,9
2020-01-20,0,0,0,338,26
2020-01-21,0,0,0,300,16
2020-01-22,0,0,0,317,22
2020-01-23,0,0,1,283,18
2020-01-24,0,0,0,301,17
2020-01-25,0,0,0,61,15
2020-01-26,0,0,0,78,21
2020-01-27,0,0,0,363,21
2020-01-28,0,0,0,367,17
2020-01-29,0,0,0,314,13
2020-01-30,0,0,0,340,16
2020-01-31,0,0,0,232,8
2020-02-01,0,0,0,28,7
2020-02-02,0,0,0,44,10
2020-02-03,0,0,0,105,19
2020-02-04,0,0,0,407,26
2020-02-05,0,0,0,346,15
2020-02-06,0,0,0,304,20
2020-02-07,0,0,0,274,19
2020-02-08,0,0,0,34,10
2020-02-09,0,0,0,87,15
2020-02-10,0,0,0,343,25
2020-02-11,0,0,0,309,17
2020-02-12,0,0,0,284,20
2020-02-13,0,0,0,259,16
2020-02-14,0,0,0,202,13
2020-02-15,0,0,0,74,9
2020-02-16,0,0,0,84,8
2020-02-17,0,0,0,336,23
2020-02-18,0,0,0,311,22
2020-02-19,0,0,0,308,13
2020-02-20,0,0,0,307,8
2020-02-21,0,0,0,280,6
2020-02-22,0,0,0,57,5
2020-02-23,0,0,1,93,10
2020-02-24,1,0,2,332,17
2020-02-25,0,0,0,322,19
2020-02-26,0,0,0,304,8
2020-02-27,2,0,4,267,14
2020-02-28,0,0,2,262,10
2020-02-29,0,0,1,65,8
2020-03-01,0,0,0,90,11
2020-03-02,1,0,1,386,15
2020-03-03,0,0,0,375,16
2020-03-04,1,0,2,369,12
2020-03-05,0,0,2,346,10
2020-03-06,0,0,0,271,10
2020-03-07,0,0,1,63,6
2020-03-08,1,0,4,75,9
2020-03-09,1,0,2,269,14
2020-03-10,2,0,9,330,12
2020-03-11,5,3,28,331,12
2020-03-12,6,4,29,312,9
2020-03-13,5,4,59,297,11
2020-03-14,1,8,50,70,5
2020-03-15,7,7,36,85,14
2020-03-16,11,8,69,181,16
2020-03-17,7,8,92,483,25
2020-03-18,9,7,102,476,19
2020-03-19,19,8,111,470,23
2020-03-20,18,6,100,387,23
2020-03-21,20,5,66,132,29
2020-03-22,19,3,47,128,29
2020-03-23,39,5,130,424,52
2020-03-24,51,6,166,407,60
2020-03-25,40,5,141,739,55
2020-03-26,64,3,174,1096,73
2020-03-27,88,5,213,1464,83
2020-03-28,80,3,161,335,78
2020-03-29,65,1,142,316,93
2020-03-30,96,2,313,1717,98
2020-03-31,92,2,283,1724,100
2020-04-01,158,8,333,1709,137
2020-04-02,122,3,312,1613,138
2020-04-03,127,4,342,1580,122
2020-04-04,123,1,223,429,132
2020-04-05,143,0,226,349,144
2020-04-06,227,4,554,1655,190
2020-04-07,195,4,466,1520,179
2020-04-08,205,7,523,1507,218
2020-04-09,200,7,417,637,171
2020-04-10,251,0,507,725,238
2020-04-11,213,2,417,455,178
2020-04-12,249,2,430,314,208
2020-04-13,327,7,869,1779,294
2020-04-14,330,6,843,1590,296
2020-04-15,342,11,890,1461,289
2020-04-16,405,7,910,1594,330
2020-04-17,358,3,1052,1724,361
2020-04-18,431,4,739,671,365
2020-04-19,400,3,682,498,383
2020-04-20,562,6,1389,1913,486
2020-04-21,541,4,1359,1855,447
2020-04-22,539,9,1277,1791,476
2020-04-23,565,2,1365,1671,516
2020-04-24,584,7,1555,1771,531
2020-04-25,541,2,990,870,513
2020-04-26,600,1,964,741,591
2020-04-27,691,8,1760,1927,661
2020-04-28,686,3,1750,1825,611
2020-04-29,703,5,1727,1675,651
2020-04-30,672,3,1735,1001,562
2020-05-01,688,4,1351,851,689
2020-05-02,624,3,1331,713,582
2020-05-03,625,8,1216,621,565
2020-05-04,724,3,2460,1195,689
2020-05-05,723,3,2041,1132,691
2020-05-06,730,5,2232,1272,715
2020-05-07,789,12,2328,1387,696
2020-05-08,786,6,2339,1245,723
2020-05-09,662,2,1490,771,637
2020-05-10,792,5,1381,662,691
2020-05-11,1038,11,2885,1272,819
2020-05-12,909,5,2854,1239,797
2020-05-13,991,12,3064,1033,780
2020-05-14,1010,8,3012,1105,813
2020-05-15,1098,9,3426,1211,885
2020-05-16,882,8,2109,781,731
2020-05-17,848,5,1599,606,718
2020-05-18,1157,11,3958,1277,918
2020-05-19,995,16,3514,1086,766
2020-05-20,1090,8,3840,1220,885
2020-05-21,1082,12,3922,1234,863
2020-05-22,1091,15,3925,1208,765
2020-05-23,874,18,2232,716,679
2020-05-24,917,5,1842,625,690
2020-05-25,1250,15,4559,1384,926
2020-05-26,1133,11,4261,1338,811
2020-05-27,1230,17,4395,1222,796
2020-05-28,1225,8,4160,1129,854
2020-05-29,1143,11,4298,1243,845
2020-05-30,1067,6,2672,747,794
2020-05-31,1046,8,2034,663,753
2020-06-01,1382,28,5205,1384,983
2020-06-02,1276,15,4656,1270,891
2020-06-03,1289,18,4900,1322,901
2020-06-04,1366,9,4836,1366,918
2020-06-05,1343,11,4964,1248,924
2020-06-06,1152,7,2944,829,810
2020-06-07,1093,4,2295,615,808
2020-06-08,1482,26,6077,1650,1040
2020-06-09,1304,45,5675,1523,912
2020-06-10,1378,12,5647,1449,957
2020-06-11,1337,22,5330,1399,936
2020-06-12,1323,37,5565,1431,975
2020-06-13,1099,10,3049,804,757
2020-06-14,1238,3,2534,749,893
2020-06-15,1608,20,6495,1734,1033
2020-06-16,1450,16,6340,1692,983
2020-06-17,1343,15,6044,1545,883
2020-06-18,1389,35,5987,1626,923
2020-06-19,1337,12,6031,1525,856
2020-06-20,1225,10,3499,1000,833
2020-06-21,1113,9,2412,655,756
2020-06-22,1611,18,6785,1729,943
2020-06-23,1481,26,6545,1556,918
2020-06-24,1471,17,6234,2037,900
2020-06-25,1397,16,6180,2566,889
2020-06-26,1471,16,6447,2392,932
2020-06-27,1279,11,3593,1541,820
2020-06-28,1266,7,2872,1242,843
2020-06-29,1565,19,7392,2619,973
2020-06-30,1485,22,7086,2412,953
2020-07-01,1555,16,7471,2159,983
2020-07-02,1399,12,6898,2181,878
2020-07-03,1395,20,6912,2103,903
2020-07-04,1186,13,3552,994,793
2020-07-05,1170,11,2890,870,785
2020-07-06,1536,19,7644,2200,1003
2020-07-07,1508,25,7668,2256,1025
2020-07-08,1437,28,7265,2152,961
2020-07-09,1357,19,6942,2055,900
2020-07-10,1449,22,6998,2128,894
2020-07-11,1209,10,3722,912,802
2020-07-12,1239,7,3057,857,797
2020-07-13,1600,30,8278,2314,1013
2020-07-14,1610,25,7949,2209,975
2020-07-15,1603,26,8335,2342,1045
2020-07-16,1556,26,7821,1999,960
2020-07-17,1508,16,7510,1982,966
2020-07-18,1259,11,4143,1022,881
2020-07-19,1327,13,3157,898,876
2020-07-20,1739,32,8660,2229,1073
2020-07-21,1611,21,8295,2022,1008
2020-07-22,1528,19,7927,2095,961
2020-07-23,1545,20,7729,2121,960
2020-07-24,1445,21,7603,2287,938
2020-07-25,1238,12,3842,1109,821
2020-07-26,1209,9,2817,878,769
2020-07-27,1646,16,7975,2044,1032
2020-07-28,1476,15,7634,2003,955
2020-07-29,1466,22,7232,2056,927
2020-07-30,1414,25,7109,2045,908
2020-07-31,1270,16,6309,2056,852
2020-08-01,1153,11,3575,803,761
2020-08-02,1074,9,2370,540,708
2020-08-03,1392,19,7107,1812,830
2020-08-04,1338,17,6987,1840,859
2020-08-05,1215,13,6708,1967,790
2020-08-06,1259,16,6346,1852,785
2020-08-07,1167,13,6198,1870,739
2020-08-08,1024,15,3386,826,655
2020-08-09,969,10,2234,536,626
2020-08-10,1288,16,6853,1768,822
2020-08-11,1210,18,6607,1672,754
2020-08-12,1117,11,6160,1784,677
2020-08-13,1225,19,6171,1632,738
2020-08-14,1070,19,5844,1728,683
2020-08-15,963,9,3062,782,610
2020-08-16,888,4,2209,544,579
2020-08-17,1194,13,6611,1638,731
2020-08-18,1126,22,6387,1835,684
2020-08-19,1103,22,6028,1526,677
2020-08-20,1122,22,5697,1584,654
2020-08-21,1005,23,6033,1561,647
2020-08-22,869,9,2915,709,549
2020-08-23,932,7,2230,521,537
2020-08-24,1152,29,6753,1480,697
2020-08-25,1075,26,6395,1745,694
2020-08-26,1029,18,6692,1898,665
2020-08-27,970,19,6223,1641,606
2020-08-28,1008,14,6071,1648,616
2020-08-29,867,8,2973,885,528
2020-08-30,804,9,2093,486,511
2020-08-31,1092,19,6710,1702,658
2020-09-01,984,25,6809,1815,583
2020-09-02,996,14,6760,1463,595
2020-09-03,941,21,6080,1440,642
2020-09-04,858,15,5853,1464,569
2020-09-05,741,9,2703,715,473
2020-09-06,809,8,1965,430,486
2020-09-07,970,13,6154,1526,599
2020-09-08,919,15,6391,1374,573
2020-09-09,906,13,5869,1421,594
2020-09-10,837,26,5503,1413,504
2020-09-11,841,23,5323,1329,526
2020-09-12,690,11,2644,561,469
2020-09-13,736,4,1778,422,437
2020-09-14,889,20,6024,1275,579
2020-09-15,752,12,4121,916,464
2020-09-16,680,11,2092,419,430
2020-09-17,910,17,6143,1474,578
2020-09-18,841,19,5508,1442,502
2020-09-19,737,3,2672,562,441
2020-09-20,649,8,1693,389,411
2020-09-21,893,28,6099,1404,539
2020-09-22,815,11,5962,1332,493
2020-09-23,808,15,5631,1313,478
2020-09-24,743,21,5187,1380,453
2020-09-25,742,29,5078,1208,469
2020-09-26,577,11,2516,588,367
2020-09-27,629,7,1691,388,410
2020-09-28,845,21,6005,1426,521
2020-09-29,770,28,5794,1426,518
2020-09-30,743,21,5320,1310,482
2020-10-01,767,19,5095,1162,498
2020-10-02,753,18,4832,1100,447
2020-10-03,612,9,2315,645,425
2020-10-04,607,3,1620,433,391
2020-10-05,875,20,5576,1355,551
2020-10-06,876,18,5778,1451,544
2020-10-07,843,27,5542,1272,513
2020-10-08,783,22,5353,1310,484
2020-10-09,757,19,5569,1242,492
2020-10-10,748,16,2896,621,478
2020-10-11,793,9,2091,328,485
2020-10-12,959,26,6583,1435,571
2020-10-13,891,28,6899,1406,564
2020-10-14,844,26,6304,1415,605
2020-10-15,861,33,6279,1200,591
2020-10-16,883,34,6457,1253,580
2020-10-17,765,19,3195,634,464
2020-10-18,842,5,2195,451,557
2020-10-19,1093,29,7935,1384,681
2020-10-20,1005,41,8239,1468,656
2020-10-21,922,33,7199,1508,576
2020-10-22,924,26,7085,1432,597
2020-10-23,927,27,7083,1379,567
2020-10-24,828,13,3338,772,562
2020-10-25,803,5,2309,520,546
2020-10-26,1022,22,8080,1690,689
2020-10-27,926,28,7774,1633,603
2020-10-28,928,27,7008,1743,625
2020-10-29,869,24,6663,1580,581
2020-10-30,806,24,6095,1544,578
2020-10-31,718,24,2857,678,517
2020-11-01,754,9,2003,447,536
2020-11-02,922,16,4974,1161,637
2020-11-03,960,43,7884,1637,657
2020-11-04,1013,23,7298,1795,678
2020-11-05,903,36,7268,1704,685
2020-11-06,1004,27,6851,1594,645
2020-11-07,777,8,3338,774,555
2020-11-08,908,6,2456,497,614
2020-11-09,1137,20,8366,2103,762
2020-11-10,1056,35,8419,2324,689
2020-11-11,1099,35,8114,1615,704
2020-11-12,1044,27,7955,1934,690
2020-11-13,986,28,7360,1457,703
2020-11-14,871,14,3749,819,594
2020-11-15,852,12,2528,502,610
2020-11-16,962,16,3061,546,659
2020-11-17,1184,34,9368,2123,842
2020-11-18,1163,30,8594,1839,748
2020-11-19,1122,38,8155,1538,714
2020-11-20,1089,39,8033,1794,762
2020-11-21,939,25,3902,1077,680
2020-11-22,1047,10,2632,527,703
2020-11-23,1306,43,9773,1882,847
2020-11-24,1182,33,9839,1998,754
2020-11-25,1201,29,9024,2018,783
2020-11-26,1163,41,9146,1768,819
2020-11-27,1111,29,8896,1980,795
2020-11-28,961,15,4374,1239,710
2020-11-29,971,4,2780,596,689
2020-11-30,1299,34,10103,2158,801
2020-12-01,1336,49,10659,2257,913
2020-12-02,1277,45,10390,2481,885
2020-12-03,1136,43,10079,2543,828
2020-12-04,1136,35,9840,2442,722
2020-12-05,1045,23,5129,1454,726
2020-12-06,1129,7,2877,668,784
2020-12-07,1386,32,11792,2607,967
2020-12-08,1460,27,11873,2613,973
2020-12-09,1330,33,11260,2715,923
2020-12-10,1378,42,11304,2779,936
2020-12-11,1327,29,11182,2783,942
2020-12-12,1241,21,6111,1315,867
2020-12-13,1161,10,3151,624,829
2020-12-14,1468,50,13057,2909,1000
2020-12-15,1550,50,12922,2785,1049
2020-12-16,1543,33,12178,2768,1067
2020-12-17,1451,29,11656,2848,1070
2020-12-18,1450,31,11207,3134,971
2020-12-19,1197,18,5845,1498,876
2020-12-20,1335,13,3455,790,1004
2020-12-21,1637,53,13212,2721,1200
2020-12-22,1607,37,12751,2857,1122
2020-12-23,1478,33,11526,2754,1105
2020-12-24,1357,28,9339,2085,984
2020-12-25,1330,7,2415,468,969
2020-12-26,1422,17,5256,1211,1083
2020-12-27,1613,12,3941,811,1126
2020-12-28,1873,53,14361,2684,1305
2020-12-29,1768,52,14234,3238,1279
2020-12-30,1701,46,13056,3044,1227
2020-12-31,1511,30,10832,2343,1126
2021-01-01,1493,8,3069,616,1112
2021-01-02,1614,11,6341,1113,1222
2021-01-03,1665,15,4712,781,1216
2021-01-04,2189,63,16417,2904,1531
2021-01-05,2163,50,17427,2834,1480
2021-01-06,2215,59,17097,2687,1526
2021-01-07,2252,58,17307,3721,1583
2021-01-08,2076,37,16906,3322,1524
2021-01-09,1752,30,8612,1984,1257
2021-01-10,1925,21,5023,941,1462
2021-01-11,2378,47,18922,3283,1715
2021-01-12,2241,67,17766,3704,1607
2021-01-13,2267,53,16652,3240,1571
2021-01-14,2406,44,16584,3396,1570
2021-01-15,2280,43,15698,3198,1548
2021-01-16,1997,23,8222,1905,1330
2021-01-17,1982,10,4823,974,1413
2021-01-18,2447,39,17407,3637,1599
2021-01-19,2452,36,17283,3312,1630
2021-01-20,2257,47,16037,3015,1512
2021-01-21,2265,29,15408,3113,1474
2021-01-22,2117,39,14857,3174,1449
2021-01-23,1885,14,7636,2054,1249
2021-01-24,1778,10,4352,789,1260
2021-01-25,2277,32,16279,3244,1458
2021-01-26,2086,51,15441,3548,1363
2021-01-27,1948,27,13584,3057,1210
2021-01-28,1814,34,12711,2851,1203
2021-01-29,1714,34,10979,2862,1102
2021-01-30,1450,30,5762,1538,959
2021-01-31,1487,11,3415,681,976
2021-02-01,1423,11,4181,893,951
2021-02-02,1743,24,12220,2812,1165
2021-02-03,1634,31,10685,2705,1071
2021-02-04,1455,26,9811,2181,965
2021-02-05,1393,28,9198,2207,865
2021-02-06,1190,11,4491,1438,839
2021-02-07,1053,6,2520,561,712
2021-02-08,1420,25,10402,2439,851
2021-02-09,1278,17,8382,1985,803
2021-02-10,1238,22,7740,1767,773
2021-02-11,1115,10,7062,1745,720
2021-02-12,1052,16,6799,1774,680
2021-02-13,882,13,3186,1100,585
2021-02-14,935,5,1930,463,632
2021-02-15,1117,23,7331,1735,736
2021-02-16,1054,12,6938,1670,687
2021-02-17,1004,14,6320,1453,623
2021-02-18,909,16,6195,1603,608
2021-02-19,920,18,5967,1376,567
2021-02-20,807,8,2982,750,565
2021-02-21,783,3,1885,397,516
2021-02-22,964,15,7650,1642,586
2021-02-23,897,15,6587,1385,537
2021-02-24,869,7,6059,1257,533
2021-02-25,883,29,6050,1127,490
2021-02-26,858,14,5792,1487,488
2021-02-27,728,14,2927,761,411
2021-02-28,750,8,1905,349,456
