Fecha,Hospitalizados,En cuarentena,Importados,Exportados,Positivos,Positivos no detectados,Fallecidos
2020-01-01,0,0,0,0,0,11,7
2020-01-02,0,0,0,0,0,57,7
2020-01-03,0,0,0,0,0,123,12
2020-01-04,0,0,0,0,0,35,3
2020-01-05,0,0,0,0,0,57,13
2020-01-06,0,0,0,0,0,159,20
2020-01-07,0,0,0,0,0,177,12
2020-01-08,0,0,0,0,0,212,18
2020-01-09,0,0,0,0,0,184,20
2020-01-10,0,0,0,0,0,194,20
2020-01-11,0,0,0,0,0,48,15
2020-01-12,0,0,0,0,0,78,22
2020-01-13,0,0,0,0,0,242,20
2020-01-14,0,0,0,0,0,279,24
2020-01-15,0,0,0,0,0,338,21
2020-01-16,0,0,0,0,0,315,20
2020-01-17,0,0,0,0,0,308,18
2020-01-18,0,0,0,0,0,55,9
2020-01-19,0,0,0,0,0,79,9
2020-01-20,0,0,0,0,0,338,26
2020-01-21,0,0,0,0,0,300,16
2020-01-22,0,0,0,0,0,317,22
2020-01-23,0,1,0,0,1,283,18
2020-01-24,0,0,0,0,0,301,17
2020-01-25,0,0,0,0,0,61,15
2020-01-26,0,0,0,0,0,78,21
2020-01-27,0,0,0,0,0,363,21
2020-01-28,0,0,0,0,0,367,17
2020-01-29,0,0,0,0,0,314,13
2020-01-30,0,0,0,0,0,340,16
2020-01-31,0,0,0,0,0,232,8
2020-02-01,0,0,0,0,0,28,7
2020-02-02,0,0,0,0,0,44,10
2020-02-03,0,0,0,0,0,105,19
2020-02-04,0,0,0,0,0,407,26
2020-02-05,0,0,0,0,0,346,15
2020-02-06,0,0,0,0,0,304,20
2020-02-07,0,0,0,0,0,274,19
2020-02-08,0,0,0,0,0,34,10
2020-02-09,0,0,0,0,0,87,15
2020-02-10,0,0,0,0,0,343,25
2020-02-11,0,0,0,0,0,309,17
2020-02-12,0,0,0,0,0,284,20
2020-02-13,0,0,0,0,0,259,16
2020-02-14,0,0,0,0,0,202,13
2020-02-15,0,0,0,0,0,74,9
2020-02-16,0,0,0,0,0,84,8
2020-02-17,0,0,0,0,0,336,23
2020-02-18,0,0,0,0,0,311,22
2020-02-19,0,0,0,0,0,308,13
2020-02-20,0,0,0,0,0,307,8
2020-02-21,0,0,0,0,0,280,6
2020-02-22,0,0,0,0,0,57,5
2020-02-23,0,1,0,0,1,93,10
2020-02-24,1,1,0,0,2,332,17
2020-02-25,0,0,0,0,0,322,19
2020-02-26,0,0,0,0,0,304,8
2020-02-27,2,2,0,0,4,267,14
2020-02-28,0,2,0,0,2,262,10
2020-02-29,0,1,0,0,1,65,8
2020-03-01,0,0,0,0,0,90,11
2020-03-02,1,0,0,0,1,386,15
2020-03-03,0,0,0,0,0,375,16
2020-03-04,1,1,0,0,2,369,12
2020-03-05,0,2,0,0,2,346,10
2020-03-06,0,0,0,0,0,271,10
2020-03-07,0,1,0,0,1,63,6
2020-03-08,1,3,0,0,4,75,9
2020-03-09,1,1,0,0,2,269,14
2020-03-10,2,7,0,0,9,330,12
2020-03-11,5,23,3,0,28,331,12
2020-03-12,6,23,4,0,29,312,9
2020-03-13,5,54,4,0,59,297,11
2020-03-14,1,49,8,0,50,70,5
2020-03-15,7,29,7,0,36,85,14
2020-03-16,11,58,8,0,69,181,16
2020-03-17,7,85,8,0,92,483,25
2020-03-18,9,93,7,0,102,476,19
2020-03-19,19,92,8,0,111,470,23
2020-03-20,18,82,6,0,100,387,23
2020-03-21,20,46,5,0,66,132,29
2020-03-22,19,28,3,0,47,128,29
2020-03-23,39,91,5,0,130,424,52
2020-03-24,51,115,6,0,166,407,60
2020-03-25,40,101,5,0,141,739,55
2020-03-26,64,110,3,0,174,1096,73
2020-03-27,88,125,5,0,213,1464,83
2020-03-28,80,81,3,0,161,335,78
2020-03-29,65,77,1,0,142,316,93
2020-03-30,96,217,2,0,313,1717,98
2020-03-31,92,191,2,0,283,1724,100
2020-04-01,158,175,8,0,333,1709,137
2020-04-02,122,190,3,0,312,1613,138
2020-04-03,127,215,4,0,342,1580,122
2020-04-04,123,100,1,0,223,429,132
2020-04-05,143,83,0,0,226,349,144
2020-04-06,227,327,4,0,554,1655,190
2020-04-07,195,271,4,0,466,1520,179
2020-04-08,205,318,7,0,523,1507,218
2020-04-09,200,217,7,0,417,637,171
2020-04-10,251,256,0,0,507,725,238
2020-04-11,213,204,2,0,417,455,178
2020-04-12,249,181,2,0,430,314,208
2020-04-13,327,542,7,0,869,1779,294
2020-04-14,330,513,6,0,843,1590,296
2020-04-15,342,548,11,0,890,1461,289
2020-04-16,405,505,7,0,910,1594,330
2020-04-17,358,694,3,0,1052,1724,361
2020-04-18,431,308,4,0,739,671,365
2020-04-19,400,282,3,0,682,498,383
2020-04-20,562,827,6,0,1389,1913,486
2020-04-21,541,818,4,0,1359,1855,447
2020-04-22,539,738,9,0,1277,1791,476
2020-04-23,565,800,2,0,1365,1671,516
2020-04-24,584,971,7,0,1555,1771,531
2020-04-25,541,449,2,0,990,870,513
2020-04-26,600,364,1,0,964,741,591
2020-04-27,691,1069,8,0,1760,1927,661
2020-04-28,686,1064,3,0,1750,1825,611
2020-04-29,703,1024,5,0,1727,1675,651
2020-04-30,672,1063,3,0,1735,1001,562
2020-05-01,688,663,4,0,1351,851,689
2020-05-02,624,707,3,0,1331,713,582
2020-05-03,625,591,8,0,1216,621,565
2020-05-04,724,1736,3,0,2460,1195,689
2020-05-05,723,1318,3,0,2041,1132,691
2020-05-06,730,1502,5,0,2232,1272,715
2020-05-07,789,1539,12,0,2328,1387,696
2020-05-08,786,1553,6,0,2339,1245,723
2020-05-09,662,828,2,0,1490,771,637
2020-05-10,792,589,5,0,1381,662,691
2020-05-11,1038,1847,11,0,2885,1272,819
2020-05-12,909,1945,5,0,2854,1239,797
2020-05-13,991,2073,12,0,3064,1033,780
