Fecha,Hospitalizados,En cuarentena,Importados,Exportados,Positivos,Positivos no detectados,Fallecidos,Positivos medicos
2020-01-01,0,0,0,0,0,11,7,1
2020-01-02,0,0,0,0,0,68,14,1
2020-01-03,0,0,0,0,0,191,26,1
2020-01-04,0,0,0,0,0,226,29,1
2020-01-05,0,0,0,0,0,283,42,1
2020-01-06,0,0,0,0,0,442,62,3
2020-01-07,0,0,0,0,0,619,74,3
2020-01-08,0,0,0,0,0,831,92,3
2020-01-09,0,0,0,0,0,1015,112,3
2020-01-10,0,0,0,0,0,1209,132,3
2020-01-11,0,0,0,0,0,1257,147,3
2020-01-12,0,0,0,0,0,1335,169,3
2020-01-13,0,0,0,0,0,1577,189,4
2020-01-14,0,0,0,0,0,1856,213,4
2020-01-15,0,0,0,0,0,2194,234,4
2020-01-16,0,0,0,0,0,2509,254,4
2020-01-17,0,0,0,0,0,2817,272,4
2020-01-18,0,0,0,0,0,2872,281,4
2020-01-19,0,0,0,0,0,2951,290,4
2020-01-20,0,0,0,0,0,3289,316,7
2020-01-21,0,0,0,0,0,3589,332,7
2020-01-22,0,0,0,0,0,3906,354,7
2020-01-23,0,1,0,0,1,4189,372,7
2020-01-24,0,1,0,0,1,4490,389,7
2020-01-25,0,1,0,0,1,4551,404,7
2020-01-26,0,1,0,0,1,4629,425,7
2020-01-27,0,1,0,0,1,4992,446,7
2020-01-28,0,1,0,0,1,5359,463,7
2020-01-29,0,1,0,0,1,5673,476,7
2020-01-30,0,1,0,0,1,6013,492,7
2020-01-31,0,1,0,0,1,6245,500,7
2020-02-01,0,1,0,0,1,6273,507,7
2020-02-02,0,1,0,0,1,6317,517,7
2020-02-03,0,1,0,0,1,6422,536,8
2020-02-04,0,1,0,0,1,6829,562,8
2020-02-05,0,1,0,0,1,7175,577,8
2020-02-06,0,1,0,0,1,7479,597,8
2020-02-07,0,1,0,0,1,7753,616,8
2020-02-08,0,1,0,0,1,7787,626,8
2020-02-09,0,1,0,0,1,7874,641,8
2020-02-10,0,1,0,0,1,8217,666,13
2020-02-11,0,1,0,0,1,8526,683,13
2020-02-12,0,1,0,0,1,8810,703,13
2020-02-13,0,1,0,0,1,9069,719,13
2020-02-14,0,1,0,0,1,9271,732,13
2020-02-15,0,1,0,0,1,9345,741,13
2020-02-16,0,1,0,0,1,9429,749,13
2020-02-17,0,1,0,0,1,9765,772,17
2020-02-18,0,1,0,0,1,10076,794,17
2020-02-19,0,1,0,0,1,10384,807,17
2020-02-20,0,1,0,0,1,10691,815,17
2020-02-21,0,1,0,0,1,10971,821,17
2020-02-22,0,1,0,0,1,11028,826,17
2020-02-23,0,2,0,0,2,11121,836,17
2020-02-24,1,3,0,0,4,11453,853,20
2020-02-25,1,3,0,0,4,11775,872,20
2020-02-26,1,3,0,0,4,12079,880,20
2020-02-27,3,5,0,0,8,12346,894,20
2020-02-28,3,7,0,0,10,12608,904,20
2020-02-29,3,8,0,0,11,12673,912,20
2020-03-01,3,8,0,0,11,12763,923,20
2020-03-02,4,8,0,0,12,13149,938,30
2020-03-03,4,8,0,0,12,13524,954,30
2020-03-04,5,9,0,0,14,13893,966,30
2020-03-05,5,11,0,0,16,14239,976,30
2020-03-06,5,11,0,0,16,14510,986,30
2020-03-07,5,12,0,0,17,14573,992,30
2020-03-08,6,15,0,0,21,14648,1001,30
2020-03-09,7,16,0,0,23,14917,1015,58
2020-03-10,9,23,0,0,32,15247,1027,58
2020-03-11,14,46,3,0,60,15578,1039,58
2020-03-12,20,69,7,0,89,15890,1048,58
2020-03-13,25,123,11,0,148,16187,1059,58
2020-03-14,26,172,19,0,198,16257,1064,58
2020-03-15,33,201,26,0,234,16342,1078,58
2020-03-16,44,259,34,0,303,16523,1094,166
2020-03-17,51,344,42,0,395,17006,1119,166
2020-03-18,60,437,49,0,497,17482,1138,166
2020-03-19,79,529,57,0,608,17952,1161,166
2020-03-20,97,611,63,0,708,18339,1184,166
2020-03-21,117,657,68,0,774,18471,1213,166
