Fecha,Hospitalizados,En cuarentena,Importados,Exportados,Positivos,Positivos no detectados,Fallecidos,Positivos medicos,Recuperados,Poblacion,Susceptibles,Expuestos,,Poblacion inicial
2020-01-01,0,0,0,0,0,11,7,1,0,127575521,102060417,25515104,,127575528
2020-01-02,0,0,0,0,0,68,14,1,0,127575514,102060411,25515103,,
2020-01-03,0,0,0,0,0,191,26,1,0,127575502,102060402,25515100,,
2020-01-04,0,0,0,0,0,226,29,1,0,127575499,102060399,25515100,,
2020-01-05,0,0,0,0,0,283,42,1,0,127575486,102060389,25515097,,
2020-01-06,0,0,0,0,0,442,62,3,0,127575466,102060373,25515093,,
2020-01-07,0,0,0,0,0,619,74,3,0,127575454,102060363,25515091,,
2020-01-08,0,0,0,0,0,831,92,3,0,127575436,102060349,25515087,,
2020-01-09,0,0,0,0,0,1015,112,3,0,127575416,102060333,25515083,,
2020-01-10,0,0,0,0,0,1209,132,3,0,127575396,102060317,25515079,,
2020-01-11,0,0,0,0,0,1257,147,3,0,127575381,102060305,25515076,,
2020-01-12,0,0,0,0,0,1335,169,3,0,127575359,102060287,25515072,,
2020-01-13,0,0,0,0,0,1577,189,4,0,127575339,102060271,25515068,,
2020-01-14,0,0,0,0,0,1856,213,4,0,127575315,102060252,25515063,,
2020-01-15,0,0,0,0,0,2194,234,4,0,127575294,102060235,25515059,,
2020-01-16,0,0,0,0,0,2509,254,4,0,127575274,102060219,25515055,,
2020-01-17,0,0,0,0,0,2817,272,4,0,127575256,102060205,25515051,,
2020-01-18,0,0,0,0,0,2872,281,4,0,127575247,102060198,25515049,,
2020-01-19,0,0,0,0,0,2951,290,4,0,127575238,102060190,25515048,,
2020-01-20,0,0,0,0,0,3289,316,7,0,127575212,102060170,25515042,,
2020-01-21,0,0,0,0,0,3589,332,7,0,127575196,102060157,25515039,,
2020-01-22,0,0,0,0,0,3906,354,7,0,127575174,102060139,25515035,,
2020-01-23,0,1,0,0,1,4189,372,7,0,127575156,102060125,25515030,,
2020-01-24,0,1,0,0,1,4490,389,7,0,127575139,102060111,25515027,,
2020-01-25,0,1,0,0,1,4551,404,7,0,127575124,102060099,25515024,,
2020-01-26,0,1,0,0,1,4629,425,7,0,127575103,102060082,25515020,,
2020-01-27,0,1,0,0,1,4992,446,7,0,127575082,102060066,25515015,,
2020-01-28,0,1,0,0,1,5359,463,7,0,127575065,102060052,25515012,,
2020-01-29,0,1,0,0,1,5673,476,7,0,127575052,102060042,25515009,,
2020-01-30,0,1,0,0,1,6013,492,7,0,127575036,102060029,25515006,,
2020-01-31,0,1,0,0,1,6245,500,7,0,127575028,102060022,25515005,,
2020-02-01,0,1,0,0,1,6273,507,7,0,127575021,102060017,25515003,,
2020-02-02,0,1,0,0,1,6317,517,7,0,127575011,102060009,25515001,,
2020-02-03,0,1,0,0,1,6422,536,8,0,127574992,102059994,25514997,,
2020-02-04,0,1,0,0,1,6829,562,8,0,127574966,102059973,25514992,,
2020-02-05,0,1,0,0,1,7175,577,8,0,127574951,102059961,25514989,,
2020-02-06,0,1,0,0,1,7479,597,8,0,127574931,102059945,25514985,,
2020-02-07,0,1,0,0,1,7753,616,8,0,127574912,102059930,25514981,,
2020-02-08,0,1,0,0,1,7787,626,8,0,127574902,102059922,25514979,,
2020-02-09,0,1,0,0,1,7874,641,8,0,127574887,102059910,25514976,,
2020-02-10,0,1,0,0,1,8217,666,13,0,127574862,102059890,25514971,,
2020-02-11,0,1,0,0,1,8526,683,13,0,127574845,102059876,25514968,,
2020-02-12,0,1,0,0,1,8810,703,13,0,127574825,102059860,25514964,,
2020-02-13,0,1,0,0,1,9069,719,13,0,127574809,102059847,25514961,,
2020-02-14,0,1,0,0,1,9271,732,13,0,127574796,102059837,25514958,,
2020-02-15,0,1,0,0,1,9345,741,13,0,127574787,102059830,25514956,,
2020-02-16,0,1,0,0,1,9429,749,13,0,127574779,102059823,25514955,,
2020-02-17,0,1,0,0,1,9765,772,17,0,127574756,102059805,25514950,,
2020-02-18,0,1,0,0,1,10076,794,17,0,127574734,102059787,25514946,,
2020-02-19,0,1,0,0,1,10384,807,17,0,127574721,102059777,25514943,,
2020-02-20,0,1,0,0,1,10691,815,17,0,127574713,102059770,25514942,,
2020-02-21,0,1,0,0,1,10971,821,17,0,127574707,102059766,25514940,,
2020-02-22,0,1,0,0,1,11028,826,17,0,127574702,102059762,25514939,,
2020-02-23,0,2,0,0,2,11121,836,17,0,127574692,102059754,25514936,,
2020-02-24,1,3,0,0,4,11453,853,20,0,127574675,102059740,25514931,,
2020-02-25,1,3,0,0,4,11775,872,20,0,127574656,102059725,25514927,,
2020-02-26,1,3,0,0,4,12079,880,20,0,127574648,102059718,25514926,,
2020-02-27,3,5,0,0,8,12346,894,20,0,127574634,102059707,25514919,,
2020-02-28,3,7,0,0,10,12608,904,20,0,127574624,102059699,25514915,,
2020-02-29,3,8,0,0,11,12673,912,20,0,127574616,102059693,25514912,,
2020-03-01,3,8,0,0,11,12763,923,20,0,127574605,102059684,25514910,,
2020-03-02,4,8,0,0,12,13149,938,30,0,127574590,102059672,25514906,,
2020-03-03,4,8,0,0,12,13524,954,30,0,127574574,102059659,25514903,,
2020-03-04,5,9,0,0,14,13893,966,30,0,127574562,102059650,25514898,,
2020-03-05,5,11,0,0,16,14239,976,30,0,127574552,102059642,25514894,,
2020-03-06,5,11,0,0,16,14510,986,30,0,127574542,102059634,25514892,,
2020-03-07,5,12,0,0,17,14573,992,30,0,127574536,102059629,25514890,,
2020-03-08,6,15,0,0,21,14648,1001,30,0,127574527,102059622,25514884,,
2020-03-09,7,16,0,0,23,14917,1015,58,0,127574513,102059610,25514880,,
2020-03-10,9,23,0,0,32,15247,1027,58,0,127574501,102059601,25514868,,
2020-03-11,14,46,3,0,60,15578,1039,58,0,127574489,102059591,25514838,,
