Date,Hospitalized,Quarentine,Imported,Exported,Positive,Positive_undetected,Dead,Positive_medic,Recovered,Population,Susceptible,Exposed,Initial_population
2020-01-01,0,0,0,0,0,11,0,,0,127575528,102060422,25515106,127575528
2020-01-02,0,0,0,0,0,68,0,,0,127575528,102060422,25515106,
2020-01-03,0,0,0,0,0,191,0,,0,127575528,102060422,25515106,
2020-01-04,0,0,0,0,0,226,0,,0,127575528,102060422,25515106,
2020-01-05,0,0,0,0,0,283,0,1,0,127575528,102060422,25515106,
2020-01-06,0,0,0,0,0,442,0,,0,127575528,102060422,25515106,
2020-01-07,0,0,0,0,0,619,0,,0,127575528,102060422,25515106,
2020-01-08,0,0,0,0,0,831,0,,0,127575528,102060422,25515106,
2020-01-09,0,0,0,0,0,1015,0,,0,127575528,102060422,25515106,
2020-01-10,0,0,0,0,0,1209,0,3,0,127575528,102060422,25515106,
2020-01-11,0,0,0,0,0,1257,0,,0,127575528,102060422,25515106,
2020-01-12,0,0,0,0,0,1335,0,,0,127575528,102060422,25515106,
2020-01-13,0,0,0,0,0,1577,0,,0,127575528,102060422,25515106,
2020-01-14,0,0,0,0,0,1856,0,,0,127575528,102060422,25515106,
2020-01-15,0,0,0,0,0,2194,0,4,0,127575528,102060422,25515106,
2020-01-16,0,0,0,0,0,2509,0,,0,127575528,102060422,25515106,
2020-01-17,0,0,0,0,0,2817,0,,0,127575528,102060422,25515106,
2020-01-18,0,0,0,0,0,2872,0,,0,127575528,102060422,25515106,
2020-01-19,0,0,0,0,0,2951,0,,0,127575528,102060422,25515106,
2020-01-20,0,0,0,0,0,3289,0,7,0,127575528,102060422,25515106,
2020-01-21,0,0,0,0,0,3589,0,,0,127575528,102060422,25515106,
2020-01-22,0,0,0,0,0,3906,0,,0,127575528,102060422,25515106,
2020-01-23,0,1,0,0,1,4189,0,,0,127575528,102060422,25515105,
2020-01-24,0,1,0,0,1,4490,0,,0,127575528,102060422,25515105,
2020-01-25,0,1,0,0,1,4551,0,7,0,127575528,102060422,25515105,
2020-01-26,0,1,0,0,1,4629,0,,0,127575528,102060422,25515105,
2020-01-27,0,1,0,0,1,4992,0,,0,127575528,102060422,25515105,
2020-01-28,0,1,0,0,1,5359,0,,0,127575528,102060422,25515105,
2020-01-29,0,1,0,0,1,5673,0,,0,127575528,102060422,25515105,
2020-01-30,0,1,0,0,1,6013,0,7,0,127575528,102060422,25515105,
2020-01-31,0,1,0,0,1,6245,0,,0,127575528,102060422,25515105,
2020-02-01,0,1,0,0,1,6273,0,,0,127575528,102060422,25515105,
2020-02-02,0,1,0,0,1,6317,0,,0,127575528,102060422,25515105,
2020-02-03,0,1,0,0,1,6422,0,,0,127575528,102060422,25515105,
2020-02-04,0,1,0,0,1,6829,0,8,0,127575528,102060422,25515105,
2020-02-05,0,1,0,0,1,7175,0,,0,127575528,102060422,25515105,
2020-02-06,0,1,0,0,1,7479,0,,0,127575528,102060422,25515105,
2020-02-07,0,1,0,0,1,7753,0,,0,127575528,102060422,25515105,
2020-02-08,0,1,0,0,1,7787,0,,0,127575528,102060422,25515105,
2020-02-09,0,1,0,0,1,7874,0,8,0,127575528,102060422,25515105,
2020-02-10,0,1,0,0,1,8217,0,,0,127575528,102060422,25515105,
2020-02-11,0,1,0,0,1,8526,0,,0,127575528,102060422,25515105,
2020-02-12,0,1,0,0,1,8810,0,,0,127575528,102060422,25515105,
2020-02-13,0,1,0,0,1,9069,0,,0,127575528,102060422,25515105,
2020-02-14,0,1,0,0,1,9271,0,13,0,127575528,102060422,25515105,
2020-02-15,0,1,0,0,1,9345,0,,0,127575528,102060422,25515105,
2020-02-16,0,1,0,0,1,9429,0,,0,127575528,102060422,25515105,
2020-02-17,0,1,0,0,1,9765,0,,0,127575528,102060422,25515105,
2020-02-18,0,1,0,0,1,10076,0,,0,127575528,102060422,25515105,
