Fecha,Fallecidos,Recuperados,Removidos totales,Totales confirmados,Activos Totales,Expuestos,Poblacion,Susceptibles,gamma,sigma,gamma promedio
2020-02-28,0,0,0,3,3,25558454,127792286,102233829,1.17377991642218E-07,0,0.020219100567384
2020-02-29,0,0,0,4,4,25558453,127792286,102233829,1.56503994979665E-07,0,sigma promedio
2020-03-01,0,0,0,5,5,25558452,127792286,102233829,1.956300013788E-07,0,0.091454731455649
2020-03-02,0,0,0,5,5,25558452,127792286,102233829,1.956300013788E-07,0,Poblacion inicial
2020-03-03,0,0,0,5,5,25558452,127792286,102233829,1.956300013788E-07,0,127792286
2020-03-04,0,0,0,5,5,25558452,127792286,102233829,1.956300013788E-07,0,Susceptibles inicial
2020-03-05,0,0,0,5,5,25558452,127792286,102233829,1.956300013788E-07,0,102233829
2020-03-06,0,0,0,6,6,25558451,127792286,102233829,2.34756010839624E-07,0,Semanas totales
2020-03-07,0,0,0,7,7,25558450,127792286,102233829,2.73882023362137E-07,0,43
2020-03-08,0,0,0,7,7,25558450,127792286,102233829,2.73882023362137E-07,0,
2020-03-09,0,0,0,7,7,25558450,127792286,102233829,2.73882023362137E-07,0,
2020-03-10,0,0,0,7,7,25558450,127792286,102233829,2.73882023362137E-07,0,
2020-03-11,0,0,0,11,11,25558446,127792286,102233829,4.30386104069082E-07,0,
2020-03-12,0,1,1,15,14,25558441,127792286,102233829,5.86890256725753E-07,0,
2020-03-13,0,1,1,26,25,25558430,127792286,102233829,1.01727688281322E-06,0,
2020-03-14,0,2,2,41,39,25558414,127792286,102233829,1.6041683963645E-06,0,
2020-03-15,0,2,2,53,51,25558402,127792286,102233829,2.07368207135955E-06,0,
2020-03-16,0,3,3,78,75,25558376,127792286,102233829,3.05183709637889E-06,0,
2020-03-17,0,3,3,89,86,25558365,127792286,102233829,3.48222587790729E-06,0,
2020-03-18,1,3,4,118,114,25558335,127792285,102233828,4.61688916746729E-06,0.008474576271186,
2020-03-19,1,3,4,164,160,25558289,127792285,102233828,6.41670496800471E-06,0.00609756097561,
2020-03-20,2,3,5,203,198,25558249,127792284,102233827,7.94264114102652E-06,0.009852216748768,
2020-03-21,2,3,5,251,246,25558201,127792284,102233827,9.82072251485932E-06,0.00796812749004,
2020-03-22,2,3,5,316,311,25558136,127792284,102233827,1.23639689529784E-05,0.006329113924051,
2020-03-23,4,3,7,367,360,25558082,127792282,102233826,1.43594499775061E-05,0.010899182561308,
2020-03-24,5,3,8,405,397,25558043,127792281,102233825,1.58462836923782E-05,0.012345679012346,
2020-03-25,6,3,9,475,466,25557972,127792280,102233824,1.85851991699498E-05,0.012631578947369,
2020-03-26,8,3,11,585,574,25557860,127792278,102233822,2.28892403354584E-05,0.013675213675214,
2020-03-27,12,3,15,717,702,25557723,127792274,102233819,2.80541423819328E-05,0.01673640167364,
2020-03-28,16,4,20,848,828,25557586,127792270,102233816,3.31799724747087E-05,0.018867924528302,
2020-03-29,20,6,26,993,967,25557434,127792266,102233813,3.88536658257633E-05,0.020140986908359,
2020-03-30,28,35,63,1094,1031,25557295,127792258,102233806,4.28057820673119E-05,0.025594149908592,
2020-03-31,29,35,64,1215,1151,25557172,127792257,102233806,4.75404712227159E-05,0.023868312757202,
2020-04-01,37,633,670,1378,708,25556402,127792249,102233799,5.39199532078107E-05,0.026850507982584,
2020-04-02,50,633,683,1510,827,25556254,127792236,102233789,5.90853416936614E-05,0.033112582781457,
2020-04-03,60,633,693,1688,995,25556064,127792226,102233781,6.60508597881113E-05,0.035545023696683,
2020-04-04,79,633,712,1890,1178,25555839,127792207,102233766,7.39557014739371E-05,0.041798941798942,
2020-04-05,94,633,727,2143,1416,25555568,127792192,102233754,8.38564809046702E-05,0.043863742417172,
2020-04-06,125,633,758,2439,1681,25555235,127792161,102233729,9.54403275884569E-05,0.051250512505125,
2020-04-07,141,633,774,2785,2011,25554870,127792145,102233716,0.000108981184408,0.050628366247756,
2020-04-08,174,633,807,3181,2374,25554434,127792112,102233690,0.000124479376064,0.054699779943414,
2020-04-09,194,633,827,3441,2614,25554150,127792092,102233674,0.000134655232125,0.056378959604766,
2020-04-10,233,633,866,3844,2978,25553701,127792053,102233642,0.000150428307821,0.060613943808533,
2020-04-11,273,634,907,4219,3312,25553277,127792013,102233610,0.000165106025345,0.064707276605831,
2020-04-12,296,1722,2018,4661,2643,25551719,127791990,102233592,0.000182414341673,0.06350568547522,
2020-04-13,332,1964,2296,5014,2718,25551081,127791954,102233563,0.00019623435893,0.066214599122457,
2020-04-14,406,2125,2531,5399,2868,25550446,127791880,102233504,0.000211307466022,0.075199110946472,
2020-04-15,449,2282,2731,5847,3116,25549789,127791837,102233470,0.000228847291068,0.076791517017274,
2020-04-16,486,2451,2937,6297,3360,25549126,127791800,102233440,0.000246466356618,0.07717960933778,
2020-04-17,546,2627,3173,6875,3702,25548300,127791740,102233392,0.000269098139602,0.079418181818182,
2020-04-18,650,2847,3497,7497,4000,25547333,127791636,102233309,0.000293455289443,0.086701347205549,
2020-04-19,686,3087,3773,8261,4488,25546286,127791600,102233280,0.000323373816452,0.083040794092725,
2020-04-20,712,3087,3799,8772,4973,25545744,127791574,102233259,0.000343384009485,0.081167350661195,
2020-04-21,857,3087,3944,9501,5557,25544841,127791429,102233143,0.000371934199943,0.090201031470372,
2020-04-22,970,3087,4057,10544,6487,25543662,127791316,102233053,0.000412783413749,0.091995447647952,
2020-04-23,1069,3087,4156,11633,7477,25542454,127791217,102232974,0.000455437836944,0.091893750537265,
2020-04-24,1221,3087,4308,12872,8564,25541033,127791065,102232852,0.00050397335143,0.094857054070852,
2020-04-25,1305,7149,8454,13842,5388,25535900,127790981,102232785,0.000542060393407,0.094278283485046,
2020-04-26,1351,8354,9705,14677,4972,25533805,127790935,102232748,0.000574806614212,0.092048783811406,
2020-04-27,1434,9086,10520,15529,5009,25532121,127790852,102232682,0.000608214256857,0.092343357589027,
2020-04-28,1569,9854,11423,16752,5329,25529968,127790717,102232574,0.000656170035152,0.093660458452722,
2020-04-29,1732,10623,12355,17799,5444,25527957,127790554,102232443,0.000697235583717,0.097308837575145,
2020-04-30,1859,11423,13282,19224,5942,25525579,127790427,102232342,0.000753126892832,0.09670203911777,
2020-05-01,1972,12377,14349,20739,6390,25522975,127790314,102232251,0.000812562015204,0.095086551907035,
2020-05-02,2061,13447,15508,22088,6580,25520449,127790225,102232180,0.000865502013699,0.093308583846433,
2020-05-03,2154,14384,16538,23471,6933,25518017,127790132,102232106,0.000919781501831,0.091772826040646,
2020-05-04,2271,15938,18209,24905,6696,25514889,127790015,102232012,0.000976096741005,0.091186508733186,
2020-05-05,2507,16810,19317,26025,6708,25512614,127789779,102231823,0.001020083633923,0.096330451488953,
2020-05-06,2704,17781,20485,27634,7149,25509797,127789582,102231666,0.001083270086391,0.097850474053702,
2020-05-07,2961,18853,21814,29616,7802,25506435,127789325,102231460,0.001161118752974,0.099979740680713,
2020-05-08,3160,20314,23474,31522,8048,25502829,127789126,102231301,0.001236019737261,0.100247446228031,
2020-05-09,3353,21824,25177,33460,8283,25499150,127788933,102231146,0.001312200602765,0.100209205020921,
2020-05-10,3465,23100,26565,35022,8457,25496177,127788821,102231057,0.001373617699626,0.098937810519102,
2020-05-11,3573,24466,28039,36327,8288,25493377,127788713,102230970,0.001424958333296,0.098356594268726,
2020-05-12,3926,25581,29507,38324,8817,25489841,127788360,102230688,0.001503500943768,0.102442333785617,
2020-05-13,4220,26990,31210,40186,8976,25486217,127788066,102230453,0.001576773830341,0.105011695615388,
2020-05-14,4477,28475,32952,42595,9643,25482015,127787809,102230247,0.001671571106131,0.105106233125954,
2020-05-15,4767,30451,35218,45032,9814,25477254,127787519,102230015,0.001767537427699,0.10585805649316,
2020-05-16,5045,31848,36893,47144,10251,25473411,127787241,102229793,0.001850714064167,0.107012557271339,
2020-05-17,5177,33329,38506,49219,10713,25469697,127787109,102229687,0.001932453299307,0.105182957800849,
2020-05-18,5332,35388,40720,51633,10913,25465038,127786954,102229563,0.002027603493072,0.10326729029884,
2020-05-19,5666,37325,42991,54346,11355,25459987,127786620,102229296,0.002134565111915,0.104257903065543,
2020-05-20,6090,38876,44966,56594,11628,25455679,127786196,102228957,0.002223236708791,0.107608580414885,
2020-05-21,6510,40657,47167,59567,12400,25450421,127785776,102228621,0.002340511380932,0.109288700119194,
2020-05-22,6989,42725,49714,62527,12813,25444818,127785297,102228238,0.002457356936096,0.111775712892031,
2020-05-23,7179,44919,52098,65856,13758,25439067,127785107,102228086,0.002588774187355,0.10901056851312,
2020-05-24,7394,47424,54818,68620,13802,25433540,127784892,102227914,0.002698012152457,0.107752841737103,
2020-05-25,7633,49890,57523,71105,13582,25428303,127784653,102227722,0.002796293563121,0.107348287743478,
2020-05-26,8134,52219,60353,74560,14207,25421917,127784152,102227322,0.002932902345641,0.109093347639485,
2020-05-27,8597,54383,62980,78023,15043,25415735,127783689,102226951,0.003069869905395,0.11018545813414,
2020-05-28,9044,56638,65682,81400,15718,25409566,127783242,102226594,0.003203517919196,0.111105651105651,
2020-05-29,9415,59610,69025,84627,15602,25402922,127782871,102226297,0.003331388412719,0.111252909827833,
2020-05-30,9779,61871,71650,87512,15862,25397339,127782507,102226006,0.003445715316868,0.111744675015998,
2020-05-31,9930,64326,74256,90664,16408,25391551,127782356,102225885,0.003570636547567,0.109525280155299,
2020-06-01,10167,67491,77658,93435,15777,25385331,127782119,102225695,0.003680668965869,0.108813613742174,
2020-06-02,10637,70308,80945,97326,16381,25378059,127781649,102225319,0.003835045067867,0.109292480940345,
2020-06-03,11729,73271,85000,101238,16238,25369873,127780557,102224446,0.003990481150615,0.115855706355321,
2020-06-04,12545,75448,87993,105680,17687,25362275,127779741,102223793,0.004166818631215,0.118707418622256,
2020-06-05,13170,78590,91760,110026,18266,25354037,127779116,102223293,0.004339585053063,0.119698980241034,
2020-06-06,13511,81544,95055,113619,18564,25347081,127778775,102223020,0.004482527988134,0.118914970207448,
2020-06-07,13699,84419,98118,117103,18985,25340496,127778587,102222870,0.004621180264191,0.116982485504214,
2020-06-08,14053,88217,102270,120102,17832,25333275,127778233,102222586,0.004740879337551,0.117008875788913,
2020-06-09,14649,91412,106061,124301,18240,25325165,127777637,102222110,0.004908200992965,0.11785102292017,
2020-06-10,15357,94733,110090,129184,19094,25316112,127776929,102221543,0.005102837276119,0.11887695070597,
2020-06-11,15944,98064,114008,133974,19966,25307286,127776342,102221074,0.005293890463007,0.119008165763506,
2020-06-12,16448,101767,118215,139196,20981,25297757,127775838,102220670,0.005502305994954,0.118164315066525,
2020-06-13,16872,104975,121847,142690,20843,25290546,127775414,102220331,0.00564202923891,0.118242343541944,
2020-06-14,17141,108110,125251,146837,21586,25282941,127775145,102220116,0.005807749976555,0.116734882897362,
2020-06-15,17580,113006,130586,150264,19678,25274091,127774706,102219765,0.005945377026616,0.116994090400894,
